Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2001:Q4,pct60to80,7717646,9553469,3110389,735307,931983,2817363,467918,1490509,1835823,1305271,507994,22558
2001:Q4,pct40to60,4230129,5365774,1851365,482992,471100,1421605,256898,881814,1135645,726302,385401,23942
2001:Q4,pct20to40,2946113,3538610,1366765,362004,226494,722834,211379,649134,592497,321056,260117,11324
2001:Q4,pct00to20,1246366,1488392,647240,163657,127761,186461,74184,289088,242026,117086,117917,7023
2002:Q1,pct99to100,8265828,8766148,1616445,393011,2429422,609189,1715809,2002271,500319,354614,62598,83107
2002:Q1,pct80to99,19745215,23117572,6337690,1242369,3962562,5580966,2439167,3554819,3372357,2576172,554935,241250
2002:Q1,pct60to80,7904053,9750919,3185578,745346,927439,2899280,491806,1501471,1846866,1324993,500738,21135
2002:Q1,pct40to60,4310430,5469135,1904882,489849,474954,1451643,267247,880560,1158705,747326,386323,25056
2002:Q1,pct20to40,2932448,3538221,1363063,360547,221977,718645,224789,649200,605773,336032,258961,10780
2002:Q1,pct00to20,1230087,1481360,628611,167150,128302,184317,84620,288360,251273,123270,119961,8042
2002:Q2,pct99to100,8170624,8675941,1706437,406087,2169808,585929,1734795,2072885,505317,373099,61151,71067
2002:Q2,pct80to99,19557733,22992333,6488516,1240255,3579725,5590411,2410572,3682854,3434600,2648731,563173,222696
2002:Q2,pct60to80,7706800,9596561,3242560,754930,838053,2830222,517302,1413494,1889761,1360144,510830,18787
2002:Q2,pct40to60,4310239,5509342,1956987,505004,450248,1421129,278961,897013,1199103,775514,396194,27395
2002:Q2,pct20to40,2842536,3470503,1363370,359738,200628,693636,239413,613717,627967,352135,266234,9598
2002:Q2,pct00to20,1199014,1458579,627537,176959,121569,172859,97000,262655,259565,129507,120062,9996
2002:Q3,pct99to100,7727448,8236998,1746560,407268,1687432,558953,1764450,2072335,509549,390464,57750,61335
2002:Q3,pct80to99,18955741,22459848,6566232,1248485,2945832,5608282,2390337,3700681,3504107,2720486,575085,208536
2002:Q3,pct60to80,7605223,9557082,3309572,767635,687009,2748085,543134,1501646,1951858,1412121,520869,18868
2002:Q3,pct40to60,4316104,5561271,2040110,527275,400578,1383137,289960,920211,1245167,810325,404162,30680
