Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2001:Q3,age55to69,14351689,15666764,3732785,845705,2605991,3715593,1941951,2824738,1315074,887073,244685,183316
2001:Q3,age40to54,15395910,18809140,5602213,1300316,2321826,4926725,1973451,2684610,3413230,2506876,746166,160188
2001:Q3,ageunder40,3656828,6079746,2421329,754059,604364,982411,426163,891420,2422919,1633700,765482,23737
2001:Q4,age70plus,9329668,9621922,2612755,427040,1858575,1363381,854940,2505231,292254,143994,68707,79553
2001:Q4,age55to69,14801937,16141232,3844741,861369,2966195,3812688,1938973,2717266,1339295,914365,266580,158350
2001:Q4,age40to54,15927468,19383721,5717749,1313813,2638031,5072639,1968666,2672823,3456253,2555323,765247,135683
2001:Q4,ageunder40,3713867,6235906,2480071,762038,651820,992414,431717,917846,2522039,1711254,791293,19492
2002:Q1,age70plus,9476565,9794957,2698586,445870,1854966,1410194,854836,2530506,318392,167222,73051,78119
2002:Q1,age55to69,15127702,16490404,3962504,874031,2991194,3968054,1941918,2752703,1362703,935840,268152,158711
2002:Q1,age40to54,16022091,19549400,5834577,1311215,2659301,5080196,1977879,2686232,3527309,2634685,759210,133414
2002:Q1,ageunder40,3761703,6288594,2540603,767156,639194,985597,448804,907241,2526891,1724661,783102,19128
2002:Q2,age70plus,9323486,9658504,2779473,477747,1659181,1424986,857298,2459818,335018,184871,80619,69528
2002:Q2,age55to69,15256356,16652543,4084526,892792,2716248,4082531,1954984,2921461,1396186,968477,277576,150133
2002:Q2,age40to54,15606570,19220268,5938145,1298941,2410768,4865847,1996802,2709764,3613699,2724782,765918,122999
2002:Q2,ageunder40,3600534,6171945,2583263,773492,573833,920823,468958,851575,2571410,1761000,793531,16879
2002:Q3,age70plus,9131470,9469183,2779396,505856,1330414,1442468,862018,2549032,337713,184851,87860,65002
2002:Q3,age55to69,15117879,16564392,4258522,920058,2224881,4205892,1972403,2982637,1446513,1009842,290426,146245
2002:Q3,age40to54,15002750,18701012,6073297,1295605,1970130,4625033,2021868,2715080,3698262,2813257,770875,114130
