Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2012:Q2,Next9,25458227,28006966,5518421,1000909,4721041,8569903,2387018,5809674,2548739,2133927,209319,205493
2012:Q2,Next40,20050669,25328237,7515880,1945124,1803268,8653517,1156446,4254002,5277568,4192953,954349,130266
2012:Q2,Bottom50,378449,5070996,2568900,1099594,110925,524689,132458,634430,4692547,2921897,1568603,202047
2012:Q3,Top1,19832845,20456914,2595714,657644,6604694,1497102,3396084,5705676,624068,398501,56727,168840
2012:Q3,Next9,25944492,28496025,5595370,1003268,4979038,8698292,2467849,5752208,2551533,2112673,214253,224607
2012:Q3,Next40,20654954,25964302,7589212,1939688,1904954,8845543,1174281,4510624,5309349,4210589,973324,125436
2012:Q3,Bottom50,458239,5153121,2615698,1100133,118541,539465,131344,647940,4694882,2875910,1606134,212838
2012:Q4,Top1,20140328,20754096,2638265,673159,6652890,1506217,3481223,5802342,613768,398431,47568,167769
2012:Q4,Next9,26140903,28740081,5655466,1003500,4996203,8730441,2524721,5829750,2599178,2155339,220920,222919
2012:Q4,Next40,20966890,26289076,7662523,1945559,1934597,8954139,1188795,4603463,5322186,4202217,1001191,118778
2012:Q4,Bottom50,546126,5186801,2626686,1105268,120564,539497,130151,664635,4640675,2781085,1643226,216364
2013:Q1,Top1,21152745,21773666,2761940,699860,7544652,1515414,3568512,5683287,620920,393240,55533,172147
2013:Q1,Next9,27205625,29718015,5771159,996610,5532621,9074333,2577690,5765602,2512390,2064323,220297,227770
2013:Q1,Next40,21671371,27018553,7912417,1942437,2118975,9293834,1199037,4551853,5347182,4246808,987757,112617
2013:Q1,Bottom50,505659,5160795,2557830,1112046,134901,560340,127337,668341,4655136,2783716,1650217,221203
2013:Q2,Top1,21475030,22093471,2854960,712519,7647335,1503349,3705606,5669702,618441,392021,50371,176049
2013:Q2,Next9,27775053,30295585,5903688,997117,5582200,9273149,2714619,5824812,2520531,2065747,225798,228986
2013:Q2,Next40,21811639,27188383,8140737,1935806,2160768,9506142,1201245,4243686,5376744,4263564,1006386,106794
2013:Q2,Bottom50,549512,5183256,2586152,1110201,137767,562568,126235,660332,4633743,2728590,1677629,227524
2013:Q3,Top1,22105114,22720307,2943716,719346,8093976,1523536,3856920,5582813,615193,392266,47790,175137
2013:Q3,Next9,28516110,31063713,6024435,1008625,5839429,9589517,2891589,5710117,2547603,2078169,231354,238080
2013:Q3,Next40,22681230,28106262,8388285,1931188,2262792,9828769,1199138,4496091,5425032,4296413,1029501,99118
2013:Q3,Bottom50,635369,5277237,2641677,1109779,145629,574765,126662,678726,4641868,2689430,1721646,230792
2013:Q4,Top1,22703229,23304076,3011110,729131,8625148,1560094,4050503,5328090,600846,398788,49696,152362
2013:Q4,Next9,29147857,31784198,6124986,1005436,6145895,10023799,2921794,5562288,2636341,2062602,237756,335983
2013:Q4,Next40,23386162,28889675,8583185,1936448,2335716,10096829,1206116,4731381,5503513,4323179,1059840,120494
2013:Q4,Bottom50,632349,5309414,2631351,1108558,151124,594285,123650,700446,4677066,2652479,1743176,281411
2014:Q1,Top1,23559716,24171720,3079583,742307,9130247,1595918,4139383,5484281,612004,405185,55857,150962
2014:Q1,Next9,29814409,32451184,6234058,989988,6437262,10152523,2852041,5785312,2636776,2057887,238375,340514
2014:Q1,Next40,23535413,29054874,8748984,1946321,2405134,10141134,1209586,4603715,5519461,4334863,1061875,122723
2014:Q1,Bottom50,647364,5268364,2593414,1106392,156270,594804,118642,698841,4620999,2596482,1740753,283764
2014:Q2,Top1,24253299,24867647,3125768,751093,9701222,1630771,4232320,5426472,614348,412529,55481,146338
2014:Q2,Next9,30472454,33144429,6377182,987606,6768039,10342916,2893863,5774823,2671975,2063084,245628,363263
2014:Q2,Next40,23888687,29469609,8911122,1961628,2485579,10231877,1204397,4675006,5580921,4354120,1097024,129777
2014:Q2,Bottom50,741584,5351713,2649248,1109034,162373,604647,120875,705536,4610130,2547628,1765877,296625
2014:Q3,Top1,24475453,25112550,3190335,763415,9523041,1644497,4436487,5554775,637098,420349,58645,158104
2014:Q3,Next9,30817930,33437634,6514080,978858,6647406,10400789,2931073,5965428,2619704,2067989,251883,299832
2014:Q3,Next40,23835990,29470442,9090010,1983419,2437143,10206173,1226511,4527186,5634451,4382887,1130830,120734
2014:Q3,Bottom50,767120,5346522,2652668,1114153,157874,600264,121018,700545,4579402,2509869,1801616,267917
2014:Q4,Top1,25078324,25726410,3249260,779198,9906952,1664566,4615397,5511037,648086,428051,59547,160488
2014:Q4,Next9,31303800,33915537,6615768,966471,6866002,10565773,2991171,5910352,2611737,2067699,258877,285161
2014:Q4,Next40,24401133,30102778,9229751,1996708,2486084,10264890,1241891,4883454,5701645,4414779,1164510,122356
2014:Q4,Bottom50,775613,5342832,2616865,1116948,161405,607605,123234,716774,4567218,2476728,1826606,263884
2015:Q1,Top1,25779718,26444493,3313157,791073,10245699,1705240,4743715,5645608,664775,434111,67073,163591
2015:Q1,Next9,32080645,34664493,6734292,956999,7058366,10698409,3092019,6124408,2583848,2049041,258582,276225
2015:Q1,Next40,24579229,30300584,9399288,2017001,2528731,10311181,1234154,4810229,5721355,4434683,1161152,125520
2015:Q1,Bottom50,824432,5341071,2601457,1120982,164327,606016,126892,721397,4516638,2433627,1820302,262709
2015:Q2,Top1,26087398,26761568,3382408,805189,10300021,1730807,4908240,5634902,674170,442548,68572,163050
2015:Q2,Next9,32367883,34965554,6886763,952394,7078737,10773660,3088128,6185873,2597671,2045523,265870,286278
2015:Q2,Next40,24582275,30393158,9594483,2052474,2521662,10302240,1254762,4667537,5810883,4482097,1195940,132846
2015:Q2,Bottom50,819883,5354743,2611386,1134906,163279,600324,125697,719152,4534860,2417682,1847381,269797
2015:Q3,Top1,25586479,26286758,3427895,798318,9429237,1748757,5048607,5833943,700278,451283,72281,176714
2015:Q3,Next9,32045875,34597452,6999516,959261,6537619,10648290,3064642,6388125,2551577,2046824,272611,232142
2015:Q3,Next40,24399799,30290560,9792219,2081064,2351977,10134219,1275342,4655739,5890761,4529841,1231603,129317
2015:Q3,Bottom50,845116,5380808,2683551,1135700,149259,573188,124393,714717,4535691,2401309,1886633,247749
2015:Q4,Top1,25995217,26712825,3481624,803443,9843466,1779774,5182910,5621608,717608,461034,78656,177918
2015:Q4,Next9,32294494,34861914,7087161,964848,6775934,10841833,3029661,6162477,2567420,2063813,269273,234334
2015:Q4,Next40,25139400,31069773,9975454,2098315,2407460,10221277,1295197,5072070,5930374,4581174,1207354,141846
2015:Q4,Bottom50,956457,5441618,2696832,1140427,153401,587962,122420,740577,4485161,2386826,1844940,253395
2016:Q1,Top1,26531414,27270862,3539425,817272,10031832,1820650,5248095,5813588,739448,467938,85588,185922
2016:Q1,Next9,32762854,35294521,7193545,959226,6876822,10964324,2869143,6431461,2531667,2046460,269864,215343
2016:Q1,Next40,25256244,31224087,10126395,2128804,2422851,10254403,1347323,4944311,5967843,4612978,1209403,145462
2016:Q1,Bottom50,986473,5434102,2675285,1151846,154390,587404,121512,743664,4447629,2355705,1847386,244538
2016:Q2,Top1,27095059,27847927,3636542,839374,10338226,1856989,5332669,5844127,752868,476920,87748,188200
2016:Q2,Next9,33347565,35887460,7392732,945104,7051625,11114370,2849137,6534491,2539895,2041879,276481,221535
2016:Q2,Next40,25407619,31466761,10367706,2159287,2462093,10308942,1388466,4780267,6059142,4668620,1240468,150054
2016:Q2,Bottom50,971914,5435176,2655944,1165617,157066,589498,127967,739084,4463262,2347673,1872124,243465
2016:Q3,Top1,27543449,28309612,3671055,829645,10672298,1894298,5407773,5834543,766164,486844,91497,187823
2016:Q3,Next9,34000022,36569612,7514734,963494,7243515,11316340,2963986,6567543,2569590,2051115,283103,235372
2016:Q3,Next40,25838978,31999507,10583203,2173985,2506456,10402595,1402499,4930769,6160530,4728439,1275239,156852
2016:Q3,Bottom50,1093575,5592944,2787955,1164163,160145,596045,139766,744869,4499368,2342395,1911797,245176
2016:Q4,Top1,27453804,28223125,3742887,819117,10794153,1855505,5387751,5623712,769321,489778,86992,192551
2016:Q4,Next9,34088341,36664694,7613206,985526,7336755,11400471,3009072,6319664,2576353,2081832,285455,209066
2016:Q4,Next40,26452255,32667590,10807927,2185227,2523715,10451586,1423251,5275884,6215335,4751800,1305856,157679
2016:Q4,Bottom50,1129540,5663810,2811021,1172637,158612,610032,147698,763811,4534270,2335412,1958133,240725
2017:Q1,Top1,28340563,29115647,3834771,819423,11460027,1848677,5459527,5693221,775083,492770,87876,194437
2017:Q1,Next9,35002677,37605692,7730087,1003345,7757680,11651111,2995097,6468372,2603016,2120046,279744,203226
2017:Q1,Next40,26967092,33192266,11049324,2205420,2632142,10642957,1434711,5227712,6225174,4770379,1295412,159383
2017:Q1,Bottom50,1163813,5697624,2788883,1190789,164415,636079,143530,773928,4533811,2323133,1967382,243296
2017:Q2,Top1,28803939,29578449,3874816,810339,11822301,1841915,5584251,5644828,774510,496425,83689,194396
2017:Q2,Next9,35675911,38325756,7903433,1021112,7994704,11837592,3132223,6436692,2649844,2162383,280295,207166
2017:Q2,Next40,27264688,33550283,11216259,2213790,2686871,10783296,1442702,5207365,6285596,4796667,1316579,172350
2017:Q2,Bottom50,1276094,5851384,2915838,1197411,165915,652537,147262,772421,4575290,2318498,2002152,254640
2017:Q3,Top1,29293937,30073894,3937262,798890,12234831,1826146,5672429,5604335,779957,500467,82055,197435
2017:Q3,Next9,36399444,39079035,8047078,1041320,8264538,12054289,3236004,6435807,2679591,2204255,280339,194997
2017:Q3,Next40,27746944,34088881,11437854,2216768,2753027,10946643,1452982,5281607,6341938,4829710,1338123,174105
2017:Q3,Bottom50,1341993,5966131,2995949,1201291,167983,673021,150921,776967,4624139,2320775,2048696,254668
