Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2015:Q2,SomeCollege,13233957,16143515,4011486,1147837,2017059,4971395,1329477,2666261,2909558,1859158,882850,167550
2015:Q2,HS,10087111,12378725,3583148,999386,1166625,3855010,876350,1898206,2291614,1578514,645202,67898
2015:Q2,NoHS,2332875,2841524,996091,326791,183622,774742,155208,405070,508649,340923,151201,16525
2015:Q3,College,57707276,65682446,14171697,2503288,15505789,13724618,7135819,12641235,7975170,5659398,1746423,569349
2015:Q3,SomeCollege,13028894,15933716,4124740,1157396,1799365,4814621,1339618,2697976,2904822,1865483,907500,131839
2015:Q3,HS,9696150,11968239,3582668,982962,990063,3698060,871594,1842892,2272089,1551001,649776,71312
2015:Q3,NoHS,2444950,2971178,1024077,330697,172875,867155,165952,410422,526227,353375,159431,13421
2015:Q4,College,58854734,66897180,14435542,2525927,16150176,13953231,7240551,12591753,8042446,5724302,1727152,590992
2015:Q4,SomeCollege,13158923,16045196,4198342,1165256,1823960,4937335,1348279,2572025,2886273,1872347,891846,122080
2015:Q4,HS,9775528,12008144,3555440,975650,1018585,3626967,864155,1967346,2232616,1529114,622591,80911
2015:Q4,NoHS,2596383,3135610,1051746,340200,187539,913312,177203,465610,539227,367084,158634,13509
2016:Q1,College,59888636,67974256,14695770,2551681,16470026,14142943,7185965,12927871,8085620,5745416,1745614,594590
2016:Q1,SomeCollege,13312096,16176327,4231348,1182692,1806636,4957433,1332954,2665264,2864231,1869490,895409,99332
2016:Q1,HS,9615938,11800892,3534092,965982,1011723,3541758,869138,1878199,2184955,1491327,609178,84450
2016:Q1,NoHS,2720317,3272098,1073440,356795,197509,984648,198017,461688,551781,376847,162040,12894
2016:Q2,College,61026453,69223835,15109481,2571637,16965668,14349437,7280202,12947410,8197382,5799897,1780476,617009
2016:Q2,SomeCollege,13436118,16321374,4280920,1202825,1811562,5003321,1318630,2704116,2885256,1880482,915701,89073
2016:Q2,HS,9522577,11683310,3561447,956248,1022065,3465866,887332,1790352,2160733,1465955,611967,82811
2016:Q2,NoHS,2837009,3408805,1101076,378673,209715,1051175,212075,456091,571796,388756,168678,14362
2016:Q3,College,62390134,70733430,15418521,2601792,17502782,14607355,7493020,13109960,8343296,5868196,1829362,645738
2016:Q3,SomeCollege,13613310,16528244,4440434,1204281,1821368,5083567,1300868,2677726,2914934,1892402,940185,82347
2016:Q3,HS,9532771,11676750,3572824,948317,1036074,3405484,904730,1809320,2143979,1446879,615951,81149
2016:Q3,NoHS,2939810,3533252,1125169,376898,222190,1112872,215405,480718,593442,401317,176137,15988
2016:Q4,College,62820832,71222221,15716854,2625278,17676005,14727480,7519073,12957531,8401390,5903243,1867459,630688
2016:Q4,SomeCollege,13731391,16679893,4542836,1214528,1857013,5151555,1303502,2610459,2948502,1904903,966328,77271
2016:Q4,HS,9618498,11762975,3562724,947661,1056436,3367528,927255,1901371,2144477,1447428,620726,76323
2016:Q4,NoHS,2953221,3554130,1152627,375040,223782,1071030,217942,513710,600909,403248,181923,15738
2017:Q1,College,64559918,73004171,16049782,2652725,18631587,15072962,7542169,13054946,8444253,5938938,1876166,629149
2017:Q1,SomeCollege,14262431,17227530,4616037,1232890,1991715,5299898,1343075,2743914,2965099,1913235,967264,84600
2017:Q1,HS,9714575,11838941,3558149,953241,1154576,3379697,925673,1867605,2124366,1449795,605145,69426
2017:Q1,NoHS,2937222,3540587,1179097,380120,236385,1026267,221948,496770,603366,404361,181840,17165
2017:Q2,College,65701269,74235852,16358148,2671038,19145382,15362092,7751774,12947418,8534583,5985823,1904097,644663
2017:Q2,SomeCollege,14614436,17618510,4750061,1241844,2071769,5380823,1390141,2783872,3004074,1925770,986707,91597
2017:Q2,HS,9810680,11947828,3615310,952563,1210858,3381289,943858,1843949,2137147,1457153,606654,73340
2017:Q2,NoHS,2894247,3503683,1186826,377206,241782,991135,220663,486071,609436,405227,185259,18950
2017:Q3,College,66988323,75610966,16687687,2686748,19735198,15661942,7902716,12936676,8622643,6039400,1943745,639498
2017:Q3,SomeCollege,14999397,18044033,4879060,1246984,2161995,5499754,1428474,2827766,3044636,1942220,1008231,94185
2017:Q3,HS,9942051,12086601,3650843,953542,1275744,3393993,962105,1850374,2144551,1468260,608489,67802
2017:Q3,NoHS,2852546,3466341,1200553,370995,247441,944411,219042,483900,613795,405326,188748,19721
2017:Q4,College,68833168,77572654,16973450,2714885,20732331,15966630,8124779,13060579,8739486,6087886,1985191,666409
2017:Q4,SomeCollege,15470693,18577503,4991308,1256671,2305518,5670815,1481489,2871702,3106810,1957195,1035499,114116
2017:Q4,HS,10176899,12340133,3661942,963478,1383451,3415117,980161,1935984,2163233,1480052,617301,65880
2017:Q4,NoHS,2804371,3423653,1212404,364587,258157,879023,214860,494623,619283,403660,192761,22862
2018:Q1,College,69695066,78475815,17419998,2747461,20672038,16083466,8124364,13428488,8780748,6118264,1990634,671850
2018:Q1,SomeCollege,15788714,18900030,5111808,1274916,2312907,5634621,1522773,3043005,3111316,1958521,1033783,119012
2018:Q1,HS,10195255,12357721,3713351,970253,1390308,3398315,996927,1888567,2162466,1489764,605561,67141
2018:Q1,NoHS,2762775,3376088,1230207,361507,252443,848495,221226,462210,613313,399400,189896,24017
2018:Q2,College,70666133,79528478,17644131,2782297,20945643,16287822,8366015,13502569,8862344,6172688,2011886,677770
2018:Q2,SomeCollege,16105842,19238979,5220822,1291953,2363618,5710146,1553582,3098858,3133137,1970034,1047984,115119
2018:Q2,HS,10339414,12534498,3780832,984592,1434322,3409732,1030272,1894748,2195084,1509757,608631,76696
2018:Q2,NoHS,2661729,3270768,1212736,356830,250628,792425,213412,444736,609038,395364,189655,24019
2018:Q3,College,71972555,80937518,17875345,2806207,21783682,16532325,8305314,13634645,8964963,6232444,2054806,677713
2018:Q3,SomeCollege,16581823,19758212,5310399,1302483,2487721,5907679,1579024,3170906,3176389,1985919,1071249,119221
2018:Q3,HS,10581489,12807695,3832820,1002395,1537875,3445776,1061206,1927624,2226206,1534833,617901,73472
2018:Q3,NoHS,2548414,3153626,1197077,350329,255470,705678,220890,424182,605211,389939,190625,24647
2018:Q4,College,69431475,78465233,18067907,2854853,18820550,16262338,8332525,14127060,9033758,6270957,2091311,671490
2018:Q4,SomeCollege,15929883,19118730,5400591,1320248,2117553,5445416,1593317,3241605,3188848,1993783,1094496,100569
2018:Q4,HS,10232907,12511479,3856542,1005158,1273467,3365627,1097353,1913332,2278573,1557983,630705,89885
2018:Q4,NoHS,2495871,3091030,1182458,332444,207703,739537,220418,408471,595159,381192,190529,23438
2019:Q1,College,73509435,82550783,18472648,2867751,21744741,16798701,8452245,14214698,9041349,6288956,2095019,657374
2019:Q1,SomeCollege,16839066,20029006,5428862,1339018,2511995,5806194,1621800,3321137,3189941,1995632,1090258,104051
2019:Q1,HS,10917929,13200936,3940588,1033859,1592127,3481922,1129650,2022790,2283007,1579906,625190,77911
2019:Q1,NoHS,2412145,2988595,1168410,336677,237787,635651,211788,398282,576450,369151,184002,23297
2019:Q2,College,75076442,84210737,18693206,2898549,22426541,17093995,8685897,14412549,9134295,6333623,2124527,676145
2019:Q2,SomeCollege,17190933,20418624,5503434,1356695,2615145,5925488,1647613,3370248,3227690,2011713,1107976,108001
2019:Q2,HS,11280151,13619839,4051500,1061416,1698096,3558175,1172748,2077905,2339688,1614651,638796,86241
2019:Q2,NoHS,2279080,2841074,1126481,328950,236066,571765,196736,381076,561994,356883,180748,24363
2019:Q3,College,75372564,84598956,18793584,2937507,22285362,17265800,8855798,14460905,9226392,6386675,2165478,674239
2019:Q3,SomeCollege,17391907,20654512,5638980,1360867,2609493,5963502,1678979,3402692,3262605,2024960,1127487,110158
2019:Q3,HS,11508242,13904208,4148372,1089085,1726341,3625967,1217788,2096656,2395966,1658009,654433,83524
2019:Q3,NoHS,2123182,2667620,1076609,304719,222417,517179,183514,363182,544438,343236,176750,24452
2019:Q4,College,77896760,87226791,18993252,2961506,23936292,17563629,8836501,14935612,9330031,6438082,2200170,691779
2019:Q4,SomeCollege,18126265,21418055,5730209,1362503,2817017,6266957,1708071,3533297,3291790,2032725,1146332,112733
2019:Q4,HS,11890563,14322436,4202487,1106996,1890743,3699357,1234492,2188362,2431873,1670527,668421,92925
2019:Q4,NoHS,2085519,2626839,1067136,299538,237471,464210,191147,367337,541319,339819,177268,24232
2020:Q1,College,73757880,83200643,19517264,3020545,18958935,17091687,8966013,15646199,9442763,6517008,2203111,722644
