Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2015:Q1,Other,5786087,7243625,2061470,387894,1021171,1882639,655096,1235355,1457538,1049478,347314,60746
2015:Q2,White,72413207,82576562,18102342,3885443,18481576,18906304,8257609,14943288,10163355,7102031,2305059,756265
2015:Q2,Black,3447347,4577073,1196714,374634,274559,1844296,238495,648375,1129726,649652,464919,15155
2015:Q2,Hispanic,2159341,2995630,1061358,289812,288607,737504,225723,392626,836290,574450,247850,13990
2015:Q2,Other,5837545,7325758,2114626,395072,1018956,1918927,655000,1223176,1488212,1061717,359935,66560
2015:Q3,White,71401854,81530631,18387058,3894896,17011259,18609862,8401997,15225559,10128777,7108589,2342322,677866
2015:Q3,Black,3427542,4583782,1238943,380823,255080,1792344,240529,676063,1156239,658659,484576,13004
2015:Q3,Hispanic,2247809,3110990,1095233,300684,293279,762600,221559,437635,863180,587278,261216,14686
2015:Q3,Other,5800064,7330175,2181947,397940,908474,1939649,648899,1253266,1530111,1074731,375015,80365
2015:Q4,White,72498245,82604757,18614299,3917516,17654716,18799845,8533987,15084394,10106512,7137804,2282598,686110
2015:Q4,Black,3520383,4686013,1270464,385954,261212,1840606,241573,686204,1165630,665589,484192,15849
2015:Q4,Hispanic,2305267,3185024,1121087,305238,315130,810423,215412,417734,879757,599418,263552,16787
2015:Q4,Other,6061673,7610338,2235220,398326,949202,1979972,639216,1408402,1548665,1090036,369882,88747
2016:Q1,White,73439170,83472521,18802276,3938639,17925696,18892137,8575501,15338272,10033351,7105219,2270147,657985
2016:Q1,Black,3595492,4777340,1302340,400426,262682,1852836,232760,726296,1181848,671179,494670,15999
2016:Q1,Hispanic,2423019,3322325,1153836,313219,333707,853556,192016,475991,899306,608587,272229,18490
2016:Q1,Other,6079305,7651386,2276199,404865,963810,2028252,585796,1392465,1572082,1098096,375195,98791
2016:Q2,White,74410656,84481573,19146466,3956913,18394617,19021426,8693732,15268419,10070917,7112496,2296958,661463
2016:Q2,Black,3689088,4899310,1355099,418976,266814,1873221,230111,755089,1210221,684234,509067,16920
2016:Q2,Hispanic,2570185,3498280,1214089,320061,353783,897643,189971,522733,928095,624574,283326,20195
2016:Q2,Other,6152228,7758161,2337270,413432,993796,2077508,584426,1351729,1605933,1113788,387470,104675
2016:Q3,White,75597361,85749337,19477362,3979611,18909475,19226983,8836705,15319202,10151977,7141764,2334810,675403
2016:Q3,Black,3772129,5014346,1404521,415926,271346,1905467,233204,783881,1242216,695490,527766,18960
2016:Q3,Hispanic,2688445,3645945,1250022,325332,374106,944493,208757,543235,957500,639866,296196,21438
2016:Q3,Other,6418089,8062048,2425044,410419,1027487,2132336,635357,1431405,1643958,1131674,402863,109421
2016:Q4,White,75943175,86124110,19755804,4004840,19071425,19276127,8857238,15158676,10180935,7147641,2377367,655927
2016:Q4,Black,3807065,5068427,1424402,413858,274337,1951663,230604,773562,1261362,704213,539845,17304
2016:Q4,Hispanic,2650378,3623173,1271209,330266,358488,952154,211877,499179,972796,651032,301265,20499
2016:Q4,Other,6723323,8403509,2523626,413543,1108986,2137648,668052,1551655,1680186,1155937,417959,106290
2017:Q1,White,77860660,88048578,20046628,4045589,20116358,19604613,8927848,15307543,10187919,7160267,2364105,663547
2017:Q1,Black,3936164,5203401,1442331,417681,287644,2028549,230545,796651,1267237,708121,543085,16031
2017:Q1,Hispanic,2685501,3665447,1296230,335537,349673,971299,201625,511082,979946,658558,301164,20224
2017:Q1,Other,6991820,8693803,2617876,420170,1260589,2174362,672847,1547959,1701983,1179383,422060,100540
2017:Q2,White,78982957,89258596,20353595,4065125,20662295,19842182,9120344,15215055,10275639,7187649,2393539,694451
2017:Q2,Black,4021029,5303236,1484523,415192,294219,2079190,237173,792939,1282207,713606,551230,17371
2017:Q2,Hispanic,2719365,3711758,1341820,338850,334543,984435,213611,498499,992393,667398,303567,21428
2017:Q2,Other,7297282,9032283,2730409,423484,1378734,2209534,735309,1554813,1735002,1205320,434380,95302
2017:Q3,White,80315248,90662804,20685750,4084382,21291953,20120280,9263369,15217070,10347556,7223141,2430167,694248
2017:Q3,Black,4104813,5404321,1513945,409016,301732,2140728,241241,797659,1299508,721199,562220,16089
2017:Q3,Hispanic,2728192,3734554,1373300,340180,318239,997014,221216,484605,1006362,677680,307878,20804
2017:Q3,Other,7634064,9406263,2845148,424690,1508454,2242078,786511,1599382,1772199,1233186,448948,90065
2017:Q4,White,82300343,92784543,20973932,4128104,22381307,20436434,9465552,15399214,10484200,7254293,2480271,749636
2017:Q4,Black,4193235,5511539,1526567,402650,314147,2217812,248653,801710,1318304,727684,572775,17845
2017:Q4,Hispanic,2707413,3727092,1386127,342490,303649,1010078,233426,451322,1019679,686569,311835,21275
2017:Q4,Other,8084140,9890769,2952478,426376,1680353,2267261,853658,1710643,1806629,1260247,465871,80511
2018:Q1,White,83194733,93703811,21422045,4165371,22281909,20456406,9557152,15820928,10509078,7274296,2468534,766248
2018:Q1,Black,4239799,5553185,1553477,404746,311046,2216664,244569,822684,1313386,723350,572631,17405
2018:Q1,Hispanic,2736368,3754476,1420149,349393,279486,1007223,216216,482010,1018108,686583,309118,22407
2018:Q1,Other,8270910,10098180,3079692,434628,1755256,2284603,847353,1696648,1827270,1281722,469592,75956
2018:Q2,White,84136413,94732282,21654940,4217408,22562046,20635255,9737870,15924763,10595869,7324246,2493324,778299
2018:Q2,Black,4296223,5614696,1577026,403555,311589,2253238,249396,819893,1318473,724050,575839,18584
2018:Q2,Hispanic,2749578,3772361,1446205,353887,257077,1009806,236761,468625,1022783,690721,308446,23616
2018:Q2,Other,8590904,10453382,3180351,440821,1863500,2301825,939255,1727631,1862478,1308826,480547,73105
2018:Q3,White,85776273,96486356,21894476,4267164,23477085,20937794,9791382,16118455,10710083,7381351,2541948,786784
2018:Q3,Black,4361648,5691244,1585774,397740,319585,2328341,240258,819546,1329596,727405,584350,17841
2018:Q3,Hispanic,2692508,3723214,1457905,353118,237078,1015130,214752,445230,1030705,696441,311095,23169
2018:Q3,Other,8853853,10756238,3277485,443392,2031000,2310193,920042,1774125,1902385,1337938,497189,67258
2018:Q4,White,82584691,93369363,22115870,4293535,20135601,20360652,9856886,16606819,10784671,7417856,2591942,774873
2018:Q4,Black,4107201,5440699,1573698,397353,274788,2163434,233480,797946,1333498,726060,589808,17630
2018:Q4,Hispanic,2620617,3655147,1443881,367103,193446,979050,208700,462968,1034530,697402,311775,25353
2018:Q4,Other,8777625,10721264,3374050,454711,1815439,2309781,944547,1822736,1943639,1362597,513516,67526
2019:Q1,White,87317732,98099378,22493516,4353323,23394156,21081377,9970023,16806983,10781646,7433452,2585349,762845
2019:Q1,Black,4298960,5620548,1578928,400285,309310,2292933,233094,805998,1321588,721832,584676,15080
2019:Q1,Hispanic,2624179,3649855,1466315,361805,184525,996520,213356,427334,1025676,694936,307506,23234
2019:Q1,Other,9437703,11399539,3471749,461892,2198660,2351638,999011,1916590,1961836,1383425,516938,61473
2019:Q2,White,89042390,99951580,22745931,4415209,24144041,21444395,10135199,17066806,10909190,7480789,2629201,799200
2019:Q2,Black,4329359,5656638,1585985,398850,313076,2329469,237451,791806,1327279,725718,585000,16561
2019:Q2,Hispanic,2596729,3626561,1478681,362209,161095,993894,233927,396755,1029832,698648,306854,24330
2019:Q2,Other,9858129,11855494,3564024,469342,2357635,2381665,1096416,1986412,1997365,1411714,530992,54659
2019:Q3,White,89467548,100504184,22951947,4476472,23971847,21660876,10285665,17157377,11036637,7549674,2682193,804770
2019:Q3,Black,4289051,5616513,1578399,383399,306144,2330302,240050,778219,1327462,724489,587875,15098
2019:Q3,Hispanic,2530467,3559414,1461686,362748,133207,980710,244165,376899,1028948,698328,306734,23886
2019:Q3,Other,10108830,12145185,3665512,469558,2432414,2400560,1166199,2010941,2036355,1440389,547347,48619
2019:Q4,White,92581801,103732228,23164924,4521703,25791026,22131855,10379812,17742907,11150426,7595277,2724774,830375
2019:Q4,Black,4437904,5771146,1596330,376216,326910,2425771,238267,807651,1333242,722391,593217,17634
2019:Q4,Hispanic,2572923,3619508,1498131,364266,141419,1008004,229615,378073,1046585,707916,313616,25053
2019:Q4,Other,10406479,12471239,3733699,468356,2622167,2428525,1122519,2095974,2064761,1455567,560583,48611
2020:Q1,White,87087312,98303261,23646561,4510042,20159634,21191036,10488183,18307805,11215950,7651775,2694588,869587
